AsesorVentas; NroDesembolsos;MontoDesembolso;StockClientesJunio;StockClientesJulio;VarClientes;CarteraJun;CarteraJul;VarCartera
Asesor 369;22;214,474;174;182;-6;1,703,171;1,583,783;-119,388
Asesor 370;26;269,157;235;258;5;1,897,362;1,954,816;57,454
Asesor 371;23;232,763;329;349;-5;1,855,912;1,910,476;54,564
Asesor 372; -   ; -   ;1;1; -   ;1,342; -   ;-1,342
Asesor 373;25;159,012;208;226;-3;1,159,044;1,128,763;-30,281
Asesor 374;30;255,807;278;295;-1;1,944,183;1,936,030;-8,153
Asesor 375;21;110,787;208;220; -   ;948,890;905,186;-43,704
Asesor 376;25;190,627;322;334;-16;2,454,519;2,336,247;-118,272
Asesor 377; -   ; -   ;2;2; -   ;20,076;19,593;-483
Asesor 378;34;271,478;299;315; -   ;1,613,733;1,622,901;9,168
Asesor 379; -   ; -   ;1;1; -   ;8,687; -   ;-8,687
Asesor 380;23;200,252;224;255; -   ;1,433,508;1,524,928;91,420
Asesor 381;14;131,480;183;201;-10;663,979;678,305;14,326
Asesor 382;51;402,234;554;609;-31;3,126,645;3,111,709;-14,936
Asesor 383;19;146,950;74;82;8;633,732;689,886;56,154
Asesor 384;34;201,617;258;275;1;1,817,559;1,829,511;11,952
Asesor 385;30;278,830;230;228;-6;1,333,862;1,399,725;65,863
Asesor 386;17;87,100;231;233;-10;1,949,302;1,832,153;-117,149
Asesor 387;1;30,000; -   ;1;1; -   ;30,000;30,000
Asesor 388;32;196,048;177;198;8;1,126,928;1,207,389;80,461
Asesor 389;27;290,126;253;267;-16;1,690,758;1,630,950;-59,808
Asesor 390;27;278,975;247;259;-1;2,200,147;2,186,375;-13,772
Asesor 391;15;89,539;174;191;-6;906,095;892,154;-13,941
Asesor 392;36;274,666;294;302; -   ;2,030,468;2,092,133;61,665
Asesor 393;8;47,800; -   ;7;7; -   ;47,800;47,800
Asesor 394;1;400; -   ;1;1; -   ;400;400
Asesor 395;5;31,400;1;6;5;8,999;39,735;30,736
Asesor 396;27;244,900;300;314;-3;1,829,208;1,892,383;63,175
Asesor 397; -   ; -   ;1;1; -   ;3,585;3,585; -   
Asesor 398;42;411,103;307;313;5;1,975,334;2,086,626;111,292
Asesor 399;18;69,138;62;75;13;205,807;262,543;56,736
Asesor 400;33;233,468;253;262;4;1,794,259;1,771,700;-22,559
Asesor 401; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Asesor 402;35;196,135;381;391;-10;2,072,889;2,049,324;-23,565
Asesor 403;22;162,129;201;206;-4;1,172,213;1,208,473;36,260
Asesor 404;7;163,201;191;196;-11;1,173,783;1,158,809;-14,974
Asesor 405;25;219,501;195;217;1;1,637,912;1,711,615;73,703
Asesor 406;26;333,670;244;257;-10;2,940,850;2,856,866;-83,984
Asesor 407;3;5,363; -   ;3;3; -   ;5,363;5,363
Asesor 408;36;228,083;274;305;10;1,829,949;1,916,582;86,633
Asesor 409;5;5,672;1;6;5;2,176;7,761;5,585
Asesor 410;41;329,430;268;270;-3;2,547,429;2,460,605;-86,824
Asesor 411;17;157,619;248;266;-6;1,797,853;1,642,289;-155,564
Asesor 412;16;162,278;158;161; -   ;1,575,359;1,566,528;-8,831
Asesor 413;24;198,251;199;205;-9;787,363;819,166;31,803
Asesor 414;27;288,864;183;200;4;1,671,430;1,717,542;46,112
Asesor 415;35;330,966;258;282;1;1,709,707;1,796,284;86,577
Asesor 416;21;218,330;242;254;-6;2,039,887;2,073,583;33,696
